ISBN,书名,作者,出版,价格,评分,人数,状态,书柜,购书日期,已读日期,封面,出版日期,详情页,推荐度,页数
9787532170692,2001：太空漫游,[英] 阿瑟·克拉克 译者: 郝明义,上海文艺出版社,62.00,9.3,26988,已读,未设置,,,https://img2.doubanio.com/view/subject/l/public/s32330891.jpg,2019-4-10,https://book.douban.com/subject/30471298/,0,275
9787508647258,21世纪资本论,[法] 托马斯·皮凯蒂（Thomas Piketty） 译者: 巴曙松,中信出版社,98.00,8.1,4819,计划,未设置,,,https://img3.doubanio.com/view/subject/l/public/s35247283.jpg,2014-9,,0,
9787532166947,AI迷航,肖遥,上海文艺出版社,48.00,6.2,910,默认,未设置,,2026-07-21,,,,0,
9787118028560,Linux & Unix命令与常用术辞典,张光胜,国防工业出版社,26.00,0.0,2,已读,未设置,,,https://img3.doubanio.com/view/subject/l/public/s1966012.jpg,2002-9,,0,
9787532572489,《陶庵梦忆》注评,[明] 张岱 著/林邦钧 注,上海古籍出版社,32.00,8.9,320,计划,未设置,,,,,,0,
9787229171186,一个人的万物牧歌,苏先生,重庆出版社,49.8,8.8,42,已读,未设置,,,https://img2.doubanio.com/view/subject/l/public/s34327991.jpg,2022-10,https://book.douban.com/subject/36119870/,0,264
9787511355881,一个人的书房,王国维,中国华侨出版社,32.8,7.8,184,计划,未设置,,,https://img1.doubanio.com/view/subject/l/public/s29237560.jpg,2016-1,,0,
9787513929929,一个陌生女人的来信,[奥地利] 斯蒂芬·茨威格 译者: 王晋华/韩正,民主与建设出版社,49.8,8.0,477,计划,未设置,,,,,,0,
9787532756889,一日重生,(美)米奇·阿尔博姆 译者: 吴正,上海译文出版社,69.00,8.2,810,默认,未设置,,,https://img9.doubanio.com/view/subject/l/public/s33855104.jpg,2012-3,https://book.douban.com/subject/10473358/,38,260
9787101054491,万历十五年（增订本）,[美] 黄仁宇,中华书局,18.00,9.1,26897,计划,未设置,,,,,,0,
9787556116904,万古江河,许倬云,湖南人民出版社,68.00,8.5,9016,已读,未设置,,,,,,0,
9787536692930,三体,刘慈欣,重庆出版社,23.00,9.1,16,已读,未设置,,,,,,0,
9787536693968,三体2,刘慈欣,重庆出版社,32.00,9.3,118,已读,未设置,,,https://img9.doubanio.com/view/subject/l/public/s34850045.jpg,2011-6,,0,
9787229030933,三体3,刘慈欣,重庆出版社,38.00,9.2,525,已读,未设置,,,https://img1.doubanio.com/view/subject/l/public/s34850049.jpg,2011-6,,0,
9787208186903,三国前夜,张向荣,上海人民出版社,89.80,8.5,3511,已读,未设置,,,https://img3.doubanio.com/view/subject/l/public/s34877207.jpg,2024-6,,0,
9787101052978,三国志,[晉] 陈寿 (撰)/[宋] 裴松之 (注),中华书局,36.00,9.3,3479,计划,未设置,,,https://img3.doubanio.com/view/subject/l/public/s9086187.jpg,2006-9,,0,
9787100128322,三国演义,（明）罗贯中,商务印书馆,,0.0,4,默认,未设置,,,https://img9.doubanio.com/view/subject/l/public/s29441656.jpg,2017-1,https://book.douban.com/subject/27036058/,0,752
9787559676573,上升的一切必将汇合,[美] 弗兰纳里·奥康纳 译者: 仲召明,北京联合出版公司,59.00,8.0,1011,计划,未设置,,,https://img3.doubanio.com/view/subject/l/public/s34921093.jpg,2024-8,https://book.douban.com/subject/36937097/,0,
9787513332422,下雨的书店,[日]日向理惠子 著/[日]吉田尚令 绘 译者: 杨彩虹,新星出版社,28.00,7.7,668,默认,未设置,,,https://img1.doubanio.com/view/subject/l/public/s29887809.jpg,2018-10,,0,
9787544779265,不存在的骑士,[意] 伊塔洛·卡尔维诺 译者: 吴正仪,译林出版社,39.00,8.9,1654,已读,未设置,,,https://img1.doubanio.com/view/subject/l/public/s33467419.jpg,2020-1,,0,
9787555106548,不属于我们的世纪,[美] 马修·托马斯 译者: 黄瑶,广西科学技术出版社,46.00,8.3,2521,计划,未设置,,,https://img1.doubanio.com/view/subject/l/public/s28872219.jpg,2016-9-1,,0,
9787203075547,不必读书目,刀尔登,山西人民出版社,25.00,7.5,2424,已读,未设置,,,https://img9.doubanio.com/view/subject/l/public/s33560685.jpg,2012-2-1,,0,
9787532755202,不能承受的生命之轻,[捷克] 米兰·昆德拉 译者: 许钧,上海译文出版社,37.00,9.0,10986,计划,未设置,,,https://img2.doubanio.com/view/subject/l/public/s10345441.jpg,2011-7-30,,0,
9787559410634,世说新语(译注本),校注:钱小北 译者: ,江苏文艺出版社,48.0,8.2,12,默认,未设置,,,,,,0,
9787020138937,世说新语选,刘义庆 译者: 黎臻,人民文学出版社,24.00,8.9,25,默认,未设置,,,,,,0,
9787546814933,东言西语,郑子宁,敦煌文艺出版社,48.00,7.6,3507,已读,未设置,,,,,,0,
9787203057918,丧家狗,李零,山西人民出版社,48.60,8.1,4061,计划,未设置,,,,,,0,
9787101113518,中华经典藏书 庄子（升级版）,庄子,中华书局,26,9.5,40,计划,未设置,,,https://img1.doubanio.com/view/subject/l/public/s29375709.jpg,,,0,
